audio_id	user_id	audio_name	artist_name	count
4116	38620	Ladawn2013	Lam52	85
3708	11197	Leyva967	Dugas45	62
2429	59759	Coe1961	Mullins256	45
3708	11197	Leyva967	Dugas45	2
4116	38620	Ladawn2013	Lam52	50
1017	84803	Markus2004	Gillen28	99
3708	11197	Leyva967	Dugas45	10
5000	27181	Worley2002	Rod1965	99
3708	11197	Leyva967	Dugas45	70
4614	05177	Isreal1966	Dickson1992	78
4116	38620	Ladawn2013	Lam52	100
5000	27181	Worley2002	Rod1965	81
1017	84803	Markus2004	Gillen28	84
1017	84803	Markus2004	Gillen28	88
2429	59759	Coe1961	Mullins256	9
4116	38620	Ladawn2013	Lam52	16
3208	08746	Chauncey1	Sherman1954	12
274	13773	Small2018	Howard2026	87
274	13773	Small2018	Howard2026	1
274	13773	Small2018	Howard2026	24
3708	11197	Leyva967	Dugas45	97
5000	27181	Worley2002	Rod1965	17
2930	99137	Wallen227	Vita519	85
4117	49921	Jansen2019	Hutcheson517	50
3208	08746	Chauncey1	Sherman1954	39
274	13773	Small2018	Howard2026	55
3709	82587	Baer6	Marilyn32	20
5000	27181	Worley2002	Rod1965	97
3708	11197	Leyva967	Dugas45	1
1017	84803	Markus2004	Gillen28	88
2430	14160	Stallworth444	Kozlowski1972	49
2931	70343	Evonne2011	Alford2002	96
2431	44984	Thersa1951	Ashley825	50
5000	27181	Worley2002	Rod1965	84
5000	27181	Worley2002	Rod1965	10
2429	59759	Coe1961	Mullins256	13
2932	51175	Charles1987	Rosalyn1961	21
3208	08746	Chauncey1	Sherman1954	24
3208	08746	Chauncey1	Sherman1954	39
775	10473	Gilma827	Randal1995	49
1518	29129	Norfleet2011	Page2026	23
1518	29129	Norfleet2011	Page2026	35
5000	27181	Worley2002	Rod1965	36
775	10473	Gilma827	Randal1995	12
1017	84803	Markus2004	Gillen28	57
3209	97027	Cordova11	Palma1957	12
2429	59759	Coe1961	Mullins256	87
4614	05177	Isreal1966	Dickson1992	95
1018	69238	Lidia9	Jaquelyn434	45
4117	49921	Jansen2019	Hutcheson517	50
3708	11197	Leyva967	Dugas45	92
3710	49882	Renato852	Dante9	11
1518	29129	Norfleet2011	Page2026	16
2930	99137	Wallen227	Vita519	9
5000	27181	Worley2002	Rod1965	44
775	10473	Gilma827	Randal1995	75
275	49149	Lane169	Justus5	27
1018	69238	Lidia9	Jaquelyn434	61
3709	82587	Baer6	Marilyn32	20
3208	08746	Chauncey1	Sherman1954	79
4614	05177	Isreal1966	Dickson1992	67
1518	29129	Norfleet2011	Page2026	63
776	86409	Mcdonough2	Wendell14	95
4614	05177	Isreal1966	Dickson1992	59
1017	84803	Markus2004	Gillen28	94
2429	59759	Coe1961	Mullins256	7
1519	94241	Felicidad4	Morgan2002	78
276	76607	Mohamed2	Gregg1976	16
3209	97027	Cordova11	Palma1957	79
1018	69238	Lidia9	Jaquelyn434	1
777	19557	Elly1986	Luciano37	13
4615	66935	Peacock363	Damaris223	56
5000	27181	Worley2002	Rod1965	35
3208	08746	Chauncey1	Sherman1954	14
3709	82587	Baer6	Marilyn32	3
3708	11197	Leyva967	Dugas45	37
2930	99137	Wallen227	Vita519	6
3210	54393	Whipple716	Thanh964	4
275	49149	Lane169	Justus5	97
1018	69238	Lidia9	Jaquelyn434	27
3209	97027	Cordova11	Palma1957	21
4116	38620	Ladawn2013	Lam52	55
1519	94241	Felicidad4	Morgan2002	35
2430	14160	Stallworth444	Kozlowski1972	4
2930	99137	Wallen227	Vita519	12
3711	52868	Steinberg813	Tillery22	31
2429	59759	Coe1961	Mullins256	6
3211	49427	Gerard1960	Vines1977	18
2931	70343	Evonne2011	Alford2002	2
1017	84803	Markus2004	Gillen28	69
277	58836	Tyrell334	Leif2028	82
3709	82587	Baer6	Marilyn32	68
3208	08746	Chauncey1	Sherman1954	28
2430	14160	Stallworth444	Kozlowski1972	20
778	38692	Mina1971	Jefferson721	12
3709	82587	Baer6	Marilyn32	79
1518	29129	Norfleet2011	Page2026	27
4118	50649	Fajardo2024	Chang693	4
2431	44984	Thersa1951	Ashley825	2
1017	84803	Markus2004	Gillen28	100
4117	49921	Jansen2019	Hutcheson517	46
4615	66935	Peacock363	Damaris223	2
3710	49882	Renato852	Dante9	53
4614	05177	Isreal1966	Dickson1992	64
3210	54393	Whipple716	Thanh964	20
3712	95811	Stephine5	Lorean294	20
2930	99137	Wallen227	Vita519	50
4615	66935	Peacock363	Damaris223	34
1518	29129	Norfleet2011	Page2026	47
775	10473	Gilma827	Randal1995	84
1017	84803	Markus2004	Gillen28	74
275	49149	Lane169	Justus5	23
3209	97027	Cordova11	Palma1957	12
4116	38620	Ladawn2013	Lam52	28
4118	50649	Fajardo2024	Chang693	79
1518	29129	Norfleet2011	Page2026	75
278	13851	Brock745	Garber781	45
776	86409	Mcdonough2	Wendell14	85
4614	05177	Isreal1966	Dickson1992	30
779	51331	Colon1964	Cooks2009	23
2931	70343	Evonne2011	Alford2002	77
3709	82587	Baer6	Marilyn32	50
3209	97027	Cordova11	Palma1957	61
4117	49921	Jansen2019	Hutcheson517	48
4616	68037	Nicky467	Galina55	81
2429	59759	Coe1961	Mullins256	85
3710	49882	Renato852	Dante9	45
1519	94241	Felicidad4	Morgan2002	76
1017	84803	Markus2004	Gillen28	56
1519	94241	Felicidad4	Morgan2002	9
2431	44984	Thersa1951	Ashley825	3
1018	69238	Lidia9	Jaquelyn434	76
1518	29129	Norfleet2011	Page2026	94
776	86409	Mcdonough2	Wendell14	95
3208	08746	Chauncey1	Sherman1954	89
3710	49882	Renato852	Dante9	48
1019	28817	Delois1978	Timothy598	85
3709	82587	Baer6	Marilyn32	35
2429	59759	Coe1961	Mullins256	23
1019	28817	Delois1978	Timothy598	100
1018	69238	Lidia9	Jaquelyn434	69
3711	52868	Steinberg813	Tillery22	17
3212	59429	Isiah2	Boyce1959	4
2932	51175	Charles1987	Rosalyn1961	73
279	40220	May675	Milly1984	83
3209	97027	Cordova11	Palma1957	1
1018	69238	Lidia9	Jaquelyn434	77
4118	50649	Fajardo2024	Chang693	1
4119	22947	Kory2017	Denny344	67
1519	94241	Felicidad4	Morgan2002	40
2432	07102	Tania1996	Billie2004	78
4616	68037	Nicky467	Galina55	14
3710	49882	Renato852	Dante9	79
3209	97027	Cordova11	Palma1957	63
3713	38962	Florentino734	Trena1992	59
275	49149	Lane169	Justus5	53
2432	07102	Tania1996	Billie2004	32
4119	22947	Kory2017	Denny344	36
3210	54393	Whipple716	Thanh964	82
2933	51459	Tatiana2029	Toya8	100
276	76607	Mohamed2	Gregg1976	42
780	84963	Angel1987	Dyan2017	70
1519	94241	Felicidad4	Morgan2002	94
2429	59759	Coe1961	Mullins256	73
4617	15697	Lenny2012	Myrick2005	52
777	19557	Elly1986	Luciano37	80
1520	58136	Alecia1996	Cheyenne377	2
3710	49882	Renato852	Dante9	48
3210	54393	Whipple716	Thanh964	55
3709	82587	Baer6	Marilyn32	36
2930	99137	Wallen227	Vita519	6
1019	28817	Delois1978	Timothy598	57
1518	29129	Norfleet2011	Page2026	97
1019	28817	Delois1978	Timothy598	1
4617	15697	Lenny2012	Myrick2005	2
2433	56833	Kenny42	Freeman2028	18
4616	68037	Nicky467	Galina55	44
1019	28817	Delois1978	Timothy598	78
3210	54393	Whipple716	Thanh964	76
3209	97027	Cordova11	Palma1957	41
1020	66137	Treadwell2022	Trinidad5	27
1521	96272	Gentry2006	Gainey183	35
276	76607	Mohamed2	Gregg1976	38
1519	94241	Felicidad4	Morgan2002	12
2430	14160	Stallworth444	Kozlowski1972	12
1520	58136	Alecia1996	Cheyenne377	69
776	86409	Mcdonough2	Wendell14	36
3711	52868	Steinberg813	Tillery22	81
4117	49921	Jansen2019	Hutcheson517	9
280	78565	Dale1954	Berenice2003	79
2931	70343	Evonne2011	Alford2002	96
3711	52868	Steinberg813	Tillery22	4
4120	84822	Mcwhorter7	Odis2	23
1021	43781	Rust958	Isaac353	90
4120	84822	Mcwhorter7	Odis2	47
4119	22947	Kory2017	Denny344	86
4117	49921	Jansen2019	Hutcheson517	81
2932	51175	Charles1987	Rosalyn1961	34
277	58836	Tyrell334	Leif2028	1
3213	89550	Renaldo7	Zenia1953	70
3211	49427	Gerard1960	Vines1977	85
2930	99137	Wallen227	Vita519	3
3211	49427	Gerard1960	Vines1977	83
778	38692	Mina1971	Jefferson721	4
2930	99137	Wallen227	Vita519	59
1018	69238	Lidia9	Jaquelyn434	73
2431	44984	Thersa1951	Ashley825	41
2430	14160	Stallworth444	Kozlowski1972	8
2932	51175	Charles1987	Rosalyn1961	63
1522	93329	Glynda2009	Herschel1999	64
2432	07102	Tania1996	Billie2004	37
2930	99137	Wallen227	Vita519	4
2933	51459	Tatiana2029	Toya8	74
781	27978	Sandy1997	Jessie756	37
281	72889	Valadez15	Raul1	66
2931	70343	Evonne2011	Alford2002	67
2933	51459	Tatiana2029	Toya8	1
3211	49427	Gerard1960	Vines1977	67
4615	66935	Peacock363	Damaris223	3
276	76607	Mohamed2	Gregg1976	88
3714	11764	Garland395	Haas8	68
3210	54393	Whipple716	Thanh964	79
782	52777	Stevie2003	Sepulveda2018	42
2430	14160	Stallworth444	Kozlowski1972	21
1519	94241	Felicidad4	Morgan2002	50
3712	95811	Stephine5	Lorean294	80
4615	66935	Peacock363	Damaris223	76
3711	52868	Steinberg813	Tillery22	17
1019	28817	Delois1978	Timothy598	68
4618	35446	Malik697	Nestor1997	48
1520	58136	Alecia1996	Cheyenne377	79
777	19557	Elly1986	Luciano37	52
282	39148	Geer789	Maudie579	84
777	19557	Elly1986	Luciano37	62
3212	59429	Isiah2	Boyce1959	50
278	13851	Brock745	Garber781	5
1518	29129	Norfleet2011	Page2026	97
2432	07102	Tania1996	Billie2004	33
2433	56833	Kenny42	Freeman2028	6
779	51331	Colon1964	Cooks2009	84
3711	52868	Steinberg813	Tillery22	51
277	58836	Tyrell334	Leif2028	96
3712	95811	Stephine5	Lorean294	50
277	58836	Tyrell334	Leif2028	40
783	22592	Decker99	Juarez46	2
2933	51459	Tatiana2029	Toya8	54
1020	66137	Treadwell2022	Trinidad5	29
1020	66137	Treadwell2022	Trinidad5	95
778	38692	Mina1971	Jefferson721	46
1018	69238	Lidia9	Jaquelyn434	45
778	38692	Mina1971	Jefferson721	48
4118	50649	Fajardo2024	Chang693	72
2430	14160	Stallworth444	Kozlowski1972	14
2934	72618	Doyle1986	Josue1962	68
283	03987	Efrain4	Lilley1960	60
3710	49882	Renato852	Dante9	67
2430	14160	Stallworth444	Kozlowski1972	27
3212	59429	Isiah2	Boyce1959	7
3211	49427	Gerard1960	Vines1977	49
1019	28817	Delois1978	Timothy598	67
1520	58136	Alecia1996	Cheyenne377	100
2934	72618	Doyle1986	Josue1962	97
1521	96272	Gentry2006	Gainey183	4
4121	38019	Bird776	Carl1952	19
1020	66137	Treadwell2022	Trinidad5	92
1520	58136	Alecia1996	Cheyenne377	80
4619	73699	Bollinger1971	Higginbotham463	12
278	13851	Brock745	Garber781	17
2931	70343	Evonne2011	Alford2002	72
279	40220	May675	Milly1984	80
1018	69238	Lidia9	Jaquelyn434	94
3210	54393	Whipple716	Thanh964	16
2931	70343	Evonne2011	Alford2002	63
4616	68037	Nicky467	Galina55	66
4122	50330	Leeper1970	Malcolm1965	12
2431	44984	Thersa1951	Ashley825	97
2430	14160	Stallworth444	Kozlowski1972	32
1020	66137	Treadwell2022	Trinidad5	73
1519	94241	Felicidad4	Morgan2002	61
1019	28817	Delois1978	Timothy598	7
3711	52868	Steinberg813	Tillery22	34
3713	38962	Florentino734	Trena1992	10
779	51331	Colon1964	Cooks2009	6
4618	35446	Malik697	Nestor1997	31
3211	49427	Gerard1960	Vines1977	97
1519	94241	Felicidad4	Morgan2002	75
2931	70343	Evonne2011	Alford2002	13
4620	12541	Alfonzo1950	Rizzo825	74
3712	95811	Stephine5	Lorean294	55
3713	38962	Florentino734	Trena1992	29
4118	50649	Fajardo2024	Chang693	25
2431	44984	Thersa1951	Ashley825	43
4119	22947	Kory2017	Denny344	67
2932	51175	Charles1987	Rosalyn1961	53
780	84963	Angel1987	Dyan2017	22
2432	07102	Tania1996	Billie2004	96
1520	58136	Alecia1996	Cheyenne377	33
3211	49427	Gerard1960	Vines1977	90
279	40220	May675	Milly1984	22
4617	15697	Lenny2012	Myrick2005	45
2933	51459	Tatiana2029	Toya8	35
4617	15697	Lenny2012	Myrick2005	53
1020	66137	Treadwell2022	Trinidad5	63
1521	96272	Gentry2006	Gainey183	55
780	84963	Angel1987	Dyan2017	65
280	78565	Dale1954	Berenice2003	43
4120	84822	Mcwhorter7	Odis2	43
4123	72147	Irwin515	Mercedes1972	71
2433	56833	Kenny42	Freeman2028	34
4621	14148	Angelic2015	Jada1980	85
2431	44984	Thersa1951	Ashley825	30
3212	59429	Isiah2	Boyce1959	12
2434	04098	Lanny5	Dion3	16
3712	95811	Stephine5	Lorean294	50
2932	51175	Charles1987	Rosalyn1961	94
1521	96272	Gentry2006	Gainey183	82
3710	49882	Renato852	Dante9	45
1021	43781	Rust958	Isaac353	58
1521	96272	Gentry2006	Gainey183	50
3713	38962	Florentino734	Trena1992	87
1521	96272	Gentry2006	Gainey183	95
4616	68037	Nicky467	Galina55	9
4618	35446	Malik697	Nestor1997	51
781	27978	Sandy1997	Jessie756	41
2935	49923	Hahn1998	Platt866	72
4119	22947	Kory2017	Denny344	46
784	11421	Willis6	Jacque1953	31
