audio_id	genre_id	user_id	genre_name	audio_count
4116	4116	38620	Ackerman1976	85
3708	3708	11197	Kieth946	62
2429	2429	59759	Winona1962	45
3708	3708	11197	Kieth946	2
4116	4116	38620	Ackerman1976	50
1017	1017	84803	Cortez2014	99
3708	3708	11197	Kieth946	10
5000	5000	27181	Lemon653	99
3708	3708	11197	Kieth946	70
4614	4614	05177	Nestor4	78
4116	4116	38620	Ackerman1976	100
5000	5000	27181	Lemon653	81
1017	1017	84803	Cortez2014	84
1017	1017	84803	Cortez2014	88
2429	2429	59759	Winona1962	9
4116	4116	38620	Ackerman1976	16
3208	3208	08746	Foley2	12
274	274	13773	Jaime591	87
274	274	13773	Jaime591	1
274	274	13773	Jaime591	24
3708	3708	11197	Kieth946	97
5000	5000	27181	Lemon653	17
2930	2930	99137	Nadene2	85
4117	4117	49921	Kay376	50
3208	3208	08746	Foley2	39
274	274	13773	Jaime591	55
3709	3709	82587	Lambert7	20
5000	5000	27181	Lemon653	97
3708	3708	11197	Kieth946	1
1017	1017	84803	Cortez2014	88
2430	2430	14160	Kelly1961	49
2931	2931	70343	Augustus2015	96
2431	2431	44984	Sharron2018	50
5000	5000	27181	Lemon653	84
5000	5000	27181	Lemon653	10
2429	2429	59759	Winona1962	13
2932	2932	51175	Dotson12	21
3208	3208	08746	Foley2	24
3208	3208	08746	Foley2	39
775	775	10473	Norman1998	49
1518	1518	29129	Ojeda1984	23
1518	1518	29129	Ojeda1984	35
5000	5000	27181	Lemon653	36
775	775	10473	Norman1998	12
1017	1017	84803	Cortez2014	57
3209	3209	97027	Lorenzo1975	12
2429	2429	59759	Winona1962	87
4614	4614	05177	Nestor4	95
1018	1018	69238	Alec223	45
4117	4117	49921	Kay376	50
3708	3708	11197	Kieth946	92
3710	3710	49882	Shore2014	11
1518	1518	29129	Ojeda1984	16
2930	2930	99137	Nadene2	9
5000	5000	27181	Lemon653	44
775	775	10473	Norman1998	75
275	275	49149	Alfred1988	27
1018	1018	69238	Alec223	61
3709	3709	82587	Lambert7	20
3208	3208	08746	Foley2	79
4614	4614	05177	Nestor4	67
1518	1518	29129	Ojeda1984	63
776	776	86409	Chaffin1975	95
4614	4614	05177	Nestor4	59
1017	1017	84803	Cortez2014	94
2429	2429	59759	Winona1962	7
1519	1519	94241	Johnny1968	78
276	276	76607	Freddy34	16
3209	3209	97027	Lorenzo1975	79
1018	1018	69238	Alec223	1
777	777	19557	Keegan25	13
4615	4615	66935	Emil1	56
5000	5000	27181	Lemon653	35
3208	3208	08746	Foley2	14
3709	3709	82587	Lambert7	3
3708	3708	11197	Kieth946	37
2930	2930	99137	Nadene2	6
3210	3210	54393	Tracey1973	4
275	275	49149	Alfred1988	97
1018	1018	69238	Alec223	27
3209	3209	97027	Lorenzo1975	21
4116	4116	38620	Ackerman1976	55
1519	1519	94241	Johnny1968	35
2430	2430	14160	Kelly1961	4
2930	2930	99137	Nadene2	12
3711	3711	52868	Mccallum319	31
2429	2429	59759	Winona1962	6
3211	3211	49427	Frankie759	18
2931	2931	70343	Augustus2015	2
1017	1017	84803	Cortez2014	69
277	277	58836	Sepulveda2004	82
3709	3709	82587	Lambert7	68
3208	3208	08746	Foley2	28
2430	2430	14160	Kelly1961	20
778	778	38692	Ima2024	12
3709	3709	82587	Lambert7	79
1518	1518	29129	Ojeda1984	27
4118	4118	50649	Demarcus1965	4
2431	2431	44984	Sharron2018	2
1017	1017	84803	Cortez2014	100
4117	4117	49921	Kay376	46
4615	4615	66935	Emil1	2
3710	3710	49882	Shore2014	53
4614	4614	05177	Nestor4	64
3210	3210	54393	Tracey1973	20
3712	3712	95811	Sandlin2020	20
2930	2930	99137	Nadene2	50
4615	4615	66935	Emil1	34
1518	1518	29129	Ojeda1984	47
775	775	10473	Norman1998	84
1017	1017	84803	Cortez2014	74
275	275	49149	Alfred1988	23
3209	3209	97027	Lorenzo1975	12
4116	4116	38620	Ackerman1976	28
4118	4118	50649	Demarcus1965	79
1518	1518	29129	Ojeda1984	75
278	278	13851	Avery423	45
776	776	86409	Chaffin1975	85
4614	4614	05177	Nestor4	30
779	779	51331	Cowles2007	23
2931	2931	70343	Augustus2015	77
3709	3709	82587	Lambert7	50
3209	3209	97027	Lorenzo1975	61
4117	4117	49921	Kay376	48
4616	4616	68037	Cathie826	81
2429	2429	59759	Winona1962	85
3710	3710	49882	Shore2014	45
1519	1519	94241	Johnny1968	76
1017	1017	84803	Cortez2014	56
1519	1519	94241	Johnny1968	9
2431	2431	44984	Sharron2018	3
1018	1018	69238	Alec223	76
1518	1518	29129	Ojeda1984	94
776	776	86409	Chaffin1975	95
3208	3208	08746	Foley2	89
3710	3710	49882	Shore2014	48
1019	1019	28817	Huynh2024	85
3709	3709	82587	Lambert7	35
2429	2429	59759	Winona1962	23
1019	1019	28817	Huynh2024	100
1018	1018	69238	Alec223	69
3711	3711	52868	Mccallum319	17
3212	3212	59429	Carmelina1952	4
2932	2932	51175	Dotson12	73
279	279	40220	Layman2016	83
3209	3209	97027	Lorenzo1975	1
1018	1018	69238	Alec223	77
4118	4118	50649	Demarcus1965	1
4119	4119	22947	Carl1976	67
1519	1519	94241	Johnny1968	40
2432	2432	07102	Iva2027	78
4616	4616	68037	Cathie826	14
3710	3710	49882	Shore2014	79
3209	3209	97027	Lorenzo1975	63
3713	3713	38962	Austin33	59
275	275	49149	Alfred1988	53
2432	2432	07102	Iva2027	32
4119	4119	22947	Carl1976	36
3210	3210	54393	Tracey1973	82
2933	2933	51459	Arnold2027	100
276	276	76607	Freddy34	42
780	780	84963	Mitchell1965	70
1519	1519	94241	Johnny1968	94
2429	2429	59759	Winona1962	73
4617	4617	15697	Bussey1990	52
777	777	19557	Keegan25	80
1520	1520	58136	Leonida57	2
3710	3710	49882	Shore2014	48
3210	3210	54393	Tracey1973	55
3709	3709	82587	Lambert7	36
2930	2930	99137	Nadene2	6
1019	1019	28817	Huynh2024	57
1518	1518	29129	Ojeda1984	97
1019	1019	28817	Huynh2024	1
4617	4617	15697	Bussey1990	2
2433	2433	56833	Yevette2014	18
4616	4616	68037	Cathie826	44
1019	1019	28817	Huynh2024	78
3210	3210	54393	Tracey1973	76
3209	3209	97027	Lorenzo1975	41
1020	1020	66137	Juliane2002	27
1521	1521	96272	Deleon2022	35
276	276	76607	Freddy34	38
1519	1519	94241	Johnny1968	12
2430	2430	14160	Kelly1961	12
1520	1520	58136	Leonida57	69
776	776	86409	Chaffin1975	36
3711	3711	52868	Mccallum319	81
4117	4117	49921	Kay376	9
280	280	78565	Josie2001	79
2931	2931	70343	Augustus2015	96
3711	3711	52868	Mccallum319	4
4120	4120	84822	Dell356	23
1021	1021	43781	Cathey56	90
4120	4120	84822	Dell356	47
4119	4119	22947	Carl1976	86
4117	4117	49921	Kay376	81
2932	2932	51175	Dotson12	34
277	277	58836	Sepulveda2004	1
3213	3213	89550	Sturgill2011	70
3211	3211	49427	Frankie759	85
2930	2930	99137	Nadene2	3
3211	3211	49427	Frankie759	83
778	778	38692	Ima2024	4
2930	2930	99137	Nadene2	59
1018	1018	69238	Alec223	73
2431	2431	44984	Sharron2018	41
2430	2430	14160	Kelly1961	8
2932	2932	51175	Dotson12	63
1522	1522	93329	Donte826	64
2432	2432	07102	Iva2027	37
2930	2930	99137	Nadene2	4
2933	2933	51459	Arnold2027	74
781	781	27978	Maupin1995	37
281	281	72889	Christy2	66
2931	2931	70343	Augustus2015	67
2933	2933	51459	Arnold2027	1
3211	3211	49427	Frankie759	67
4615	4615	66935	Emil1	3
276	276	76607	Freddy34	88
3714	3714	11764	Damian468	68
3210	3210	54393	Tracey1973	79
782	782	52777	Rau8	42
2430	2430	14160	Kelly1961	21
1519	1519	94241	Johnny1968	50
3712	3712	95811	Sandlin2020	80
4615	4615	66935	Emil1	76
3711	3711	52868	Mccallum319	17
1019	1019	28817	Huynh2024	68
4618	4618	35446	Malcolm211	48
1520	1520	58136	Leonida57	79
777	777	19557	Keegan25	52
282	282	39148	Adler872	84
777	777	19557	Keegan25	62
3212	3212	59429	Carmelina1952	50
278	278	13851	Avery423	5
1518	1518	29129	Ojeda1984	97
2432	2432	07102	Iva2027	33
2433	2433	56833	Yevette2014	6
779	779	51331	Cowles2007	84
3711	3711	52868	Mccallum319	51
277	277	58836	Sepulveda2004	96
3712	3712	95811	Sandlin2020	50
277	277	58836	Sepulveda2004	40
783	783	22592	Reinhardt87	2
2933	2933	51459	Arnold2027	54
1020	1020	66137	Juliane2002	29
